delo,plača neto,kraj,delovnik,trajanje
DELO V PROIZVODNJI,7.00 €/h neto,KRANJ,DOPOLDAN,"POČITNIŠKO DELO, MOŽNOST PODALJŠANJA "
POMOČ V TRGOVINI,7.31 €/h neto,MORAVČE,PO DOGOVORU,PO DOGOVORU
ADMINISTRATIVNA DELA,6.20 €/h neto,BRNIK,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO S STRANKAMI,7.06 €/h neto,LJUBLJANA,DOPOLDAN,PO DOGOVORU
PROJEKTNO DELO,7.00 €/h neto,LJUBLJANA,PO DOGOVORU,PO DOGOVORU
KOZMETIČNE STORITVE,6.50 €/h neto,PTUJ,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
ČIŠČENJE,9.00 €/h neto,PACUG PRI PORTOROŽU,MED VIKENDI,POČITNIŠKO DELO
POMOČ V STREŽBI,9.00 €/h neto,PACUG PRI PORTOROŽU,MED VIKENDI,AVGUST
VNOS PODATKOV V RAČUNALNIK,PO DOGOVORU,ŠOŠTANJ,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
OBDELAVA IN ODPREMA SPLETNIH NAROČIL,8.00 €/h neto,LJUBLJANA ČRNUČE,PO DOGOVORU,PO DOGOVORU
POMOČ V TRGOVINI,6.93 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V DELAVNICI,8.61 €/h neto,CELJE,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,7.74 €/h neto,KOPER,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V ORDINACIJI,9.47 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ČIŠČENJE,8.80 €/h neto,MARIBOR,DOPOLDAN,PO DOGOVORU
ADMINISTRATIVNA DELA,6.88 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,6.88 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,6.88 €/h neto,LJUBLLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELJENJE LETAKOV,7.50 €/h neto,DOMŽALE,PO DOGOVORU,"SREDA, 28. 8. 2024. "
FIZIČNA DELA,8.61 €/h neto,LJUBLJANA BTC,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ZAHTEVNA ADMINISTRATIVNA DELA,8.61 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA TERENU,8.00 €/h neto,KOPER Z OKOLICO,PO DOGOVORU,DO 30. 8. 2024
DELO NA BENCINSKEM SERVISU,9.03 €/h neto,MEDVODE,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ELEKTROTEHNIČNA DELA,9.00 €/h neto,LJUBLJANA / PO TERENU,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
PRODAJA,12.05 €/h neto,MOJSTRANA,PO DOGOVORU,DO 15. 9. 2024
PRODAJA,6.45 €/h neto,LJUBLJANA BTC,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,PO DOGOVORU,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V TURIZMU,6.88 €/h neto,PTUJ,IZMENSKO,POČITNIŠKO DELO
POMOČ V KUHINJI,8.00 €/h neto,BLED,POPOLDAN,POČITNIŠKO DELO
DELO V FARMACIJI,7.70 €/h neto,TRZIN,DOPOLDAN,PO DOGOVORU
PRODAJA,8.00 €/h neto,LJUBLJANA - CENTER,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
PRODAJA,8.00 €/h neto,LJUBLJANA - BTC,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ASISTENT/KA,8.61 €/h neto,LJUBLJANA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
PROGRAMIRANJE,PO DOGOVORU,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V PROIZVODNJI,7.31 €/h neto,JESENICE NA DOLENJSKEM,IZMENSKO,POČITNIŠKO DELO
POMOČ V TRGOVINI,7.31 €/h neto,NOVA GORICA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
TEHNIČNA POMOČ,6.20 €/h neto,CELJE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA RECEPCIJI,7.50 €/h neto,DOBOVA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
TRŽENJE,PO DOGOVORU,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ UPORABNIKOM,7.00 €/h neto,LJUBLJANA - NOVE JARŠE,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ČIŠČENJE,8.00 €/h neto,PREDOSLJE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
ŠPEDICIJSKA DELA,8.00 €/h neto,LJUBLJANA - ČRNUČE,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
MARKETING,8.00 €/h neto,KOMENDA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,6.20 €/h neto,MARIBOR,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,8.61 €/h neto,POSTOJNA,PO DOGOVORU,PO DOGOVORU
STROKOVNO DELO,9.04 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
PROJEKTIRANJE,9.50 €/h neto,TRZIN,DOPOLDAN,PO DOGOVORU
DELO V PROIZVODNJI,7.00 €/h neto,VRHNIKA,DOPOLDAN,PO DOGOVORU
POMOČ PRI PRODAJI,8.61 €/h neto,MENGEŠ,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
